ref,sign,multiform,alexandrian
urn:cts:greekLit:tlg0012.tlg001.msA:18.313,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.314,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.315,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.316,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.317,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.318,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.319,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.320,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.321,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.322,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.323,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.324,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.325,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.326,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.327,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.328,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.329,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.330,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.331,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.332,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.333,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.334,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.335,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.336,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.337,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.338,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.339,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.340,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.341,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.342,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.343,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.344,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.345,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.346,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.347,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.348,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.349,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.350,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.351,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.352,>,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.353,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.354,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.355,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.356,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.357,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.358,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.359,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.360,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.361,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.362,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.363,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.364,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.365,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.366,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.367,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.368,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.369,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.370,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.371,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.372,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.373,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.374,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.375,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.376,>,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.377,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.378,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.379,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.380,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.381,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.382,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.383,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.384,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.385,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.386,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.387,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.388,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.389,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.390,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.391,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.392,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.393,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.394,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.395,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.396,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.397,none,f,f
