urn:cite:hmt:reuse.cit_87,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_3,"ὑβάλλειν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:19.80"
urn:cite:hmt:reuse.cit_88,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_7,"ηέρι γὰρ κατέχοντο",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:17.368"
urn:cite:hmt:reuse.cit_89,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_7,"ἀὴρ γὰρ παρα νηυσὶ βαθεί ην",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:9.144"
urn:cite:hmt:reuse.cit_90,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_13,"θήλεας",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:5.269"
urn:cite:hmt:reuse.cit_91,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_1,"τῶν ἀνδρῶν οἳ σῆς ἐξ αἵματος εἰσὶν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:19.111"
urn:cite:hmt:reuse.cit_92,urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_2,"ὅτι κεν κεφαλῇ κατανεύσῃ",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:1.527"
urn:cite:hmt:reuse.cit_93,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_6,"πυκναὶπυκναί",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:7.61"
urn:cite:hmt:reuse.cit_94,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_11,"οἱ δέ οἱ ἐβλάφθησαν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:23.387"
urn:cite:hmt:reuse.cit_95,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_11,"νευσ ἐπι οἱ καλέσας.",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012:tlg002:17.330"
urn:cite:hmt:reuse.cit_96,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_11,"προτί οἱ δὲ λαβῶν ἔντερα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:20.418"
urn:cite:hmt:reuse.cit_97,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_12,"εὐτ ορεος κορυφῇσι",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:3.10"
urn:cite:hmt:reuse.cit_98,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_12,"καί ρ' ἀπολείβεται ",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:7.107"
urn:cite:hmt:reuse.cit_99,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_15,"λέξον δή με τάχιστα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:24.635"
urn:cite:hmt:reuse.cit_100,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_16,"Ξανθέ τε καὶ σὺ Πόδαργε",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:8.185"
urn:cite:hmt:reuse.cit_101,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_18,"ὡς ἄρα φωνήσαντες Ἐρινύες ἔσχεθον αὐδήν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001.msA:19.418"
urn:cite:hmt:reuse.cit_102,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_18,"τὸν μὲν ἀρίζηλον θῆκε θεὸς ὥσπερ ἔφηνεν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001.msA:2.318"
urn:cite:hmt:reuse.cit_103,urn:cts:greekLit:tlg5026.msA.hmt:19.hc_21,"αὐδήεντα δ' ἔθηκεν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001.msA:19.407"
